date,PFlow.csv
2019-12-31,2829.0
2020-12-31,4659.0
2021-12-31,1333.0
2022-12-31,2486.0
2023-12-31,2812.0
2024-12-31,3010.0
2025-12-31,511.3
2026-12-31,3631.0
2027-12-31,4479.0
2028-12-31,2724.0
2029-12-31,1802.0
2030-12-31,10220.0
2031-12-31,3545.0
2032-12-31,1977.0
2033-12-31,3220.0
2034-12-31,3588.0
2035-12-31,4704.0
2036-12-31,1110.0
2037-12-31,1881.0
2038-12-31,3819.0
2039-12-31,4514.0
2040-12-31,2619.0
2041-12-31,2286.0
2042-12-31,5848.0
2043-12-31,2960.0
2044-12-31,3090.0
2045-12-31,3051.0
2046-12-31,3549.0
2047-12-31,2502.0
2048-12-31,2413.0
2049-12-31,5052.0
2050-12-31,4001.0
2051-12-31,1689.0
2052-12-31,4472.0
2053-12-31,4470.0
2054-12-31,4178.0
2055-12-31,3383.0
2056-12-31,3353.0
2057-12-31,2628.0
2058-12-31,3773.0
2059-12-31,1223.0
2060-12-31,5336.0
2061-12-31,2874.0
2062-12-31,1417.0
2063-12-31,2972.0
2064-12-31,5798.0
2065-12-31,2378.0
2066-12-31,2836.0
2067-12-31,2865.0
2068-12-31,3178.0
2069-12-31,3514.0
2070-12-31,2408.0
2071-12-31,3333.0
2072-12-31,7507.0
2073-12-31,2426.0
2074-12-31,2752.0
2075-12-31,4658.0
2076-12-31,8982.0
2077-12-31,2520.0
2078-12-31,1015.0
2079-12-31,6773.0
2080-12-31,6061.0
2081-12-31,3306.0
2082-12-31,3732.0
2083-12-31,3897.0
2084-12-31,3170.0
2085-12-31,3132.0
2086-12-31,5372.0
2087-12-31,6415.0
2088-12-31,6249.0
2089-12-31,3077.0
2090-12-31,3485.0
2091-12-31,3061.0
2092-12-31,3608.0
2093-12-31,3673.0
2094-12-31,4321.0
2095-12-31,2996.0
2096-12-31,6600.0
2097-12-31,3359.0
2098-12-31,1900.0
2099-12-31,6360.0
