,PFlow.csv
2019,1271.2
2020,1571.6000000000001
2021,621.46
2022,275.5799999999999
2023,665.4099999999999
2024,1138.1000000000001
2025,960.7
2026,352.61
2027,3.8532
2028,670.71
2029,1141.1
2030,1843.9999999999998
2031,1684.3999999999999
2032,570.34
2033,1880.0
2034,1038.3000000000002
2035,857.1
2036,1780.9
2037,2677.6
2038,1739.2
2039,1456.8
2040,1016.7
2041,744.3900000000001
2042,1080.7
2043,733.1
2044,1232.2
2045,1929.3999999999999
2046,684.8900000000001
2047,461.02
2048,2464.7999999999997
2049,2681.4
2050,652.46
2051,1150.2
2052,1804.0
2053,1502.8
2054,1497.3999999999999
2055,1272.4
2056,1511.4
2057,441.40999999999997
2058,699.0799999999999
2059,2078.3
2060,2208.1
2061,1944.1000000000001
2062,1040.2
2063,1138.0
2064,538.16
2065,860.0
2066,760.6600000000001
2067,620.0999999999999
2068,1072.6000000000001
2069,2540.7
2070,1164.4
2071,369.76
2072,703.6
2073,2198.7
2074,480.76
2075,756.05
2076,1728.0
2077,1262.4999999999998
2078,1082.6
2079,1743.9
2080,755.0400000000001
2081,1345.6000000000001
2082,495.14
2083,467.42
2084,340.57000000000005
2085,238.93
2086,243.96999999999997
2087,322.22999999999996
2088,2344.1000000000004
2089,1438.0000000000002
2090,1921.6
2091,757.5
2092,1821.7
2093,1734.0
2094,1280.9
2095,1259.7
2096,1212.1999999999998
2097,1732.2000000000003
2098,1113.3
2099,1303.1
