,PUC
2019,1271.2
2020,1824.8000000000002
2021,1042.9999999999998
2022,698.5500000000001
2023,57.57600000000001
2024,429.05999999999995
2025,295.79
2026,12.913400000000001
2027,435.21
2028,711.79
2029,369.17999999999995
2030,1092.2
2031,483.76
2032,1040.0
2033,689.75
2034,522.76
2035,733.8000000000001
2036,129.55
2037,840.5
2038,1098.9
2039,1050.7
2040,1170.8
2041,228.70000000000002
2042,250.3
2043,177.11
2044,1216.8999999999999
2045,623.74
2046,651.3699999999999
2047,822.8
2048,371.33
2049,694.25
2050,36.877
2051,734.1
2052,422.09000000000003
2053,1159.7
2054,771.9999999999999
2055,480.28000000000003
2056,106.06
2057,0.0
2058,461.47999999999996
2059,307.72
2060,456.68999999999994
2061,635.7
2062,498.88
2063,376.5
2064,822.0000000000001
2065,687.14
2066,987.6
2067,547.39
2068,676.79
2069,703.85
2070,577.05
2071,712.53
2072,966.0
2073,476.62
2074,525.16
2075,356.96000000000004
2076,117.54999999999998
2077,746.0
2078,1031.2
2079,1258.4
2080,823.3000000000001
2081,853.0
2082,1070.2
2083,1725.7
2084,1182.8999999999999
2085,1083.6
2086,498.11
2087,139.13
2088,58.111000000000004
2089,65.08900000000001
2090,847.6
2091,401.95000000000005
2092,178.84
2093,69.29599999999999
2094,174.92
2095,73.555
2096,834.0
2097,1418.2
2098,568.8100000000001
2099,188.85
