date,PUC
2019-12-31,2829.0
2020-12-31,2885.0
2021-12-31,1865.0
2022-12-31,3637.0
2023-12-31,7665.0
2024-12-31,4241.0
2025-12-31,3199.0
2026-12-31,1416.0
2027-12-31,2566.0
2028-12-31,1741.0
2029-12-31,3387.0
2030-12-31,7913.0
2031-12-31,1851.0
2032-12-31,2937.0
2033-12-31,1591.0
2034-12-31,4307.0
2035-12-31,2512.0
2036-12-31,4435.0
2037-12-31,5029.0
2038-12-31,3609.0
2039-12-31,3543.0
2040-12-31,3042.0
2041-12-31,1647.0
2042-12-31,2230.0
2043-12-31,5196.0
2044-12-31,3615.0
2045-12-31,1936.0
2046-12-31,3149.0
2047-12-31,3256.0
2048-12-31,3570.0
2049-12-31,4097.0
2050-12-31,2913.0
2051-12-31,4064.0
2052-12-31,3091.0
2053-12-31,2701.0
2054-12-31,3433.0
2055-12-31,3186.0
2056-12-31,5954.0
2057-12-31,3129.0
2058-12-31,3188.0
2059-12-31,4193.0
2060-12-31,2602.0
2061-12-31,3740.0
2062-12-31,2432.0
2063-12-31,5215.0
2064-12-31,3513.0
2065-12-31,12100.0
2066-12-31,3084.0
2067-12-31,5257.0
2068-12-31,791.6
2069-12-31,3079.0
2070-12-31,2704.0
2071-12-31,4554.0
2072-12-31,2466.0
2073-12-31,4877.0
2074-12-31,4260.0
2075-12-31,1066.0
2076-12-31,4261.0
2077-12-31,4156.0
2078-12-31,5140.0
2079-12-31,4414.0
2080-12-31,3588.0
2081-12-31,3776.0
2082-12-31,3170.0
2083-12-31,2251.0
2084-12-31,1896.0
2085-12-31,4145.0
2086-12-31,2616.0
2087-12-31,2532.0
2088-12-31,2188.0
2089-12-31,1290.0
2090-12-31,3445.0
2091-12-31,4574.0
2092-12-31,2682.0
2093-12-31,11090.0
2094-12-31,5487.0
2095-12-31,3639.0
2096-12-31,4101.0
2097-12-31,3923.0
2098-12-31,2545.0
2099-12-31,4320.0
